Hieroglyph,Gardiner,Description,Ideogram,,,,
𓀫,A38,man holding necks of two emblematic animals with panther heads,Cusae (qjs),,,,
𓀬,A39,man on two giraffes,Cusae (qjs),,,,
𓀬,A39,man on two giraffes,Cusae (qjs),,,,
𓀭,A40,seated god,"I, me, my (when the speaker is a god) (.j)",,,,
𓀭,A40,seated god,God(nṯr),,,,
𓀮,A40A,seated god with Was-sceptre,"I, me, my (when the speaker is a god) (.j)",,,,
𓀮,A40A,seated god with Was-sceptre,God(nṯr),,,,
𓀯,A41,king with uraeus,king (nsw),,,,
𓀯,A41,king with uraeus,majesty (ḥm),,,,
𓀯,A41,king with uraeus,"I, me, my (when speaker is a king) (.j)",,,,
𓀰,A42,king with uraeus and flagellum,king (nsw),,,,
𓀰,A42,king with uraeus and flagellum,majesty (ḥm),,,,
𓀰,A42,king with uraeus and flagellum,"I, me, my (when speaker is a king) (.j)",,,,
𓀱,A42A,king with uraeus and flagellum,king (nsw),,,,
𓀱,A42A,king with uraeus and flagellum,majesty (ḥm),,,,
𓀱,A42A,king with uraeus and flagellum,"I, me, my (when speaker is a king) (.j)",,,,
𓀲,A43,king wearing white crown,King of Upper Egypt (nsw),,,,
𓀲,A43,king wearing white crown,Osiris (wsjr),,,,
𓀳,A43A,king wearing white crown with sceptre,King of Upper Egypt (nsw),,,,
𓀳,A43A,king wearing white crown with sceptre,Osiris (wsjr),,,,
𓀴,A44,king wearing white crown with flagellum,King of Upper Egypt (nsw),,,,
𓀴,A44,king wearing white crown with flagellum,Atum (jtmw),,,,
𓀵,A45,king wearing red crown,King of Lower Egypt (bjtj),,,,
𓀵,A45,king wearing red crown,King (nsw),,,,
𓀶,A45A,king wearing red crown with sceptre,Atum (jtmw),,,,
𓀶,A45A,king wearing red crown with sceptre,Atum (jtmw),,,,
𓀷,A46,king wearing red crown with flagellum,King of Lower Egypt (bjtj),,,,
𓀷,A46,king wearing red crown with flagellum,King of Lower Egypt (bjtj),,,,
𓀸,A47,"shepherd seated and wrapped in mantle, holding stick",shepherd (mnjw),,,,
𓀸,A47,"shepherd seated and wrapped in mantle, holding stick",guard (sꜣw),,,,
𓀹,A48,beardless man seated and holding knife,"belonging to, keeper (jrj)",,,,
𓀹,A48,beardless man seated and holding knife,"Guardian, keeper (jrj)",,,,
𓀺,A49,seated Syrian holding stick,"foreigner, Asian (ꜥꜣmw)",,,,
𓀺,A49,seated Syrian holding stick,"foreigner, Asian (ꜥꜣmw)",,,,
𓀻,A50,noble on chair,courtier (smr),,,,
𓀻,A50,noble on chair,"I, me, my (when speaker is a nobleman) (.j)",,,,
𓀻,A50,noble on chair,noble (šps),,,,
𓀼,A51,noble on chair with flagellum,to be of noble blood (špsj),,,,
𓀼,A51,noble on chair with flagellum,undertake a task (špsj),,,,
𓀽,A52,noble squatting with flagellum,to be of noble blood (špsj),,,,
𓀽,A52,noble squatting with flagellum,to be of noble blood (špsj),,,,
𓀾,A53,standing mummy,Image (twt),,,,
𓀾,A53,standing mummy,Image (twt),,,,
𓀿,A54,lying mummy,death (mnj),,,,
𓀿,A54,lying mummy,death (mnj),,,,
𓁀,A55,mummy on bed,"lie down, spend the night(sḏr)",,,,
𓁀,A55,mummy on bed,corpse (ẖꜣt),,,,
𓁁,A56,seated man holding stick,corpse (ẖꜣt),,,,
𓁁,A56,seated man holding stick,corpse (ẖꜣt),,,,
𓁂,A57,man holding loaf on mat,An offering which the King gives (ḥtp-dj-nsw),,,,
𓁂,A57,man holding loaf on mat,An offering which the King gives (ḥtp-dj-nsw),,,,
𓁃,A58,man applying hoe to ground,An offering which the King gives (ḥtp-dj-nsw),,,,
𓁃,A58,man applying hoe to ground,An offering which the King gives (ḥtp-dj-nsw),,,,
𓁄,A59,man threatening with stick,An offering which the King gives (ḥtp-dj-nsw),,,,
𓁄,A59,man threatening with stick,An offering which the King gives (ḥtp-dj-nsw),,,,
𓁅,A60,man sowing seeds,"Spill, pour (stj)",,,,
𓁅,A60,man sowing seeds,"Spill, pour (stj)",,,,
𓁆,A61,man looking over his shoulder,"Spill, pour (stj)",,,,
𓁆,A61,man looking over his shoulder,"Spill, pour (stj)",,,,
𓁇,A62,Asiatic,"Spill, pour (stj)",,,,
𓁇,A62,Asiatic,"Spill, pour (stj)",,,,
𓁈,A63,king on throne holding staff,"Spill, pour (stj)",,,,
𓁈,A63,king on throne holding staff,"Spill, pour (stj)",,,,
𓁉,A64,man sitting on heels holding forward cup,"Spill, pour (stj)",,,,
𓁉,A64,man sitting on heels holding forward cup,"Spill, pour (stj)",,,,
𓁊,A65,man wearing tunic with fringes and holding mace,"Spill, pour (stj)",,,,
𓁊,A65,man wearing tunic with fringes and holding mace,"Spill, pour (stj)",,,,
𓁋,A66,man holding sistrum,Ihy (jḥy),,,,
𓁋,A66,man holding sistrum,Great God (Ptolemaic) (nṯr-Ꜥꜣ),,,,
𓁌,A67,dwarf,Great God (Ptolemaic) (nṯr-Ꜥꜣ),,,,
𓁌,A67,dwarf,Great God (Ptolemaic) (nṯr-Ꜥꜣ),,,,
𓁍,A68,man holding up knife,Black eye paint (msdmt),,,,
𓁍,A68,man holding up knife,Black eye paint (msdmt),,,,
𓁎,A69,seated man with raised right arm and left arm hanging down,Black eye paint (msdmt),,,,
𓁎,A69,seated man with raised right arm and left arm hanging down,Black eye paint (msdmt),,,,
𓁏,A70,seated man with raised arms,Heh (ḥḥ),,,,
𓁏,A70,seated man with raised arms,Heh (ḥḥ),,,,
𓁐,B1,seated woman,woman (zt),,,,
𓁐,B1,seated woman,"I, me, my (when speaker is feminine) (.j)",,,,
𓁑,B2,pregnant woman,to be pregnant (bkꜣ),,,,
𓁑,B2,pregnant woman,conceive (jwr),,,,
𓁒,B3,woman giving birth,to give birth (msj),,,,
𓁒,B3,woman giving birth,conceive (jwr),,,,
𓁓,B4,combination of woman giving birth and three skins tied together,to give birth (msj),,,,
𓁓,B4,combination of woman giving birth and three skins tied together,to give birth (msj),,,,
𓁔,B5,woman suckling child,"to nurse, to nurture, to care for (rnn)",,,,
𓁔,B5,woman suckling child,wet nurse (noun def. 1) (mnꜥt),,,,
𓁕,B5A,woman suckling child (simplified),wet nurse (noun def. 1) (mnꜥt),,,,
𓁕,B5A,woman suckling child (simplified),wet nurse (noun def. 1) (mnꜥt),,,,
𓁖,B6,woman on chair with child on lap,"to nurse, to nurture, to care for (rnn)",,,,
𓁖,B6,woman on chair with child on lap,"to nurse, to nurture, to care for (rnn)",,,,
𓁗,B7,queen wearing diadem and holding flower,"to nurse, to nurture, to care for (rnn)",,,,
𓁗,B7,queen wearing diadem and holding flower,"to nurse, to nurture, to care for (rnn)",,,,
𓁘,B8,woman holding lotus flower,"to nurse, to nurture, to care for (rnn)",,,,
𓁘,B8,woman holding lotus flower,"to nurse, to nurture, to care for (rnn)",,,,
𓁙,B9,woman holding sistrum,"to nurse, to nurture, to care for (rnn)",,,,
𓁙,B9,woman holding sistrum,"to nurse, to nurture, to care for (rnn)",,,,
𓁚,C1,god with sun-disk and uraeus,Ra (rꜤ),,,,
𓁚,C1,god with sun-disk and uraeus,Ra (rꜤ),,,,
𓁛,C2,god with falcon head and sun-disk holding ankh,Ideogram and Determinative for Ra (rꜤ),,,,
𓁛,C2,god with falcon head and sun-disk holding ankh,Ideogram and Determinative for Ra (rꜤ),,,,
𓁜,C2A,god with falcon head and sun-disk,Id. & Det. for Ra (rꜤ),,,,
𓁜,C2A,god with falcon head and sun-disk,Id. & Det. for Ra (rꜤ),,,,
𓁝,C2B,C2A reversed,Ra (rꜤ),,,,
𓁝,C2B,C2A reversed,Ra (rꜤ),,,,
𓁞,C2C,C2 reversed,Ra (rꜤ),,,,
𓁞,C2C,C2 reversed,Ra (rꜤ),,,,
𓁟,C3,god with ibis head,Id. & Det. for Thoth (ḏḥwty),,,,
𓁟,C3,god with ibis head,Id. & Det. for Thoth (ḏḥwty),,,,
𓁠,C4,god with ram head,Id. & Det. for Khnum (ẖnmw),,,,
𓁠,C4,god with ram head,Id. & Det. for Khnum (ẖnmw),,,,
𓁡,C5,god with ram head holding ankh,Id. & Det. for Khnum (ẖnmw),,,,
𓁡,C5,god with ram head holding ankh,Id. & Det. for Khnum (ẖnmw),,,,
𓁢,C6,god with jackal head,Id. & Det. for Anubis (jnpw),,,,
𓁢,C6,god with jackal head,Id. & Det. for Wepwawet (wp-wꜣwt),,,,
𓁣,C7,god with Seth-animal head,"Id. & Det. for Seth (stḫ, stẖ, stš)",,,,
𓁣,C7,god with Seth-animal head,"Id. & Det. for Seth (stḫ, stẖ, stš)",,,,
𓁤,C8,"ithyphallic god with two plumes, uplifted arm and flagellum",Id. & Det. for Min (mnw),,,,
𓁤,C8,"ithyphallic god with two plumes, uplifted arm and flagellum",Id. & Det. for Min (mnw),,,,
𓁥,C9,goddess with horned sun-disk,Id. & Det. for Hathor (ḥwt-ḥr),,,,
𓁥,C9,goddess with horned sun-disk,Id. & Det. for Hathor (ḥwt-ḥr),,,,
𓁦,C10,goddess with feather,Id. & Det. for Maat (mꜣꜥt),,,,
𓁦,C10,goddess with feather,Id. & Det. for Maat (mꜣꜥt),,,,
𓁧,C10A,goddess with feather holding ankh,Id. & Det. for Maat (mꜣꜥt),,,,
𓁧,C10A,goddess with feather holding ankh,Id. & Det. for Maat (mꜣꜥt),,,,
𓁨,C11,god with arms supporting the sky and palm branch on head,Id. & Det. for Heh (ḥḥ),,,,
𓁨,C11,god with arms supporting the sky and palm branch on head,Million (ḥḥ),,,,
𓁩,C12,god with two plumes and scepter,Id. & Det. for Amun (jmn),,,,
𓁩,C12,god with two plumes and scepter,Id. & Det. for Amun (jmn),,,,
𓁪,C13,C12 reversed,Amun (jmn),,,,
𓁪,C13,C12 reversed,Amun (jmn),,,,
𓁫,C14,god with two plumes and scimitar,Amun is with his Strong Arm (Amunherkhepeshef) (jmn-ḥr-ḫpš.f),,,,
𓁫,C14,god with two plumes and scimitar,Amun is with his Strong Arm (Amunherkhepeshef) (jmn-ḥr-ḫpš.f),,,,
𓁬,C15,C14 reversed,Amun is with his Strong Arm (Amunherkhepeshef) (jmn-ḥr-ḫpš.f),,,,
𓁬,C15,C14 reversed,Amun is with his Strong Arm (Amunherkhepeshef) (jmn-ḥr-ḫpš.f),,,,
𓁭,C16,god wearing red crown with ankh,Id. & Det. for Atum (jtmw),,,,
𓁭,C16,god wearing red crown with ankh,Id. & Det. for Atum (jtmw),,,,
𓁮,C17,god with falcon head and two plumes,Id. & Det. for Montu (mnṯw),,,,
𓁮,C17,god with falcon head and two plumes,Id. & Det. for Montu (mnṯw),,,,
𓁯,C18,squatting god,Id. & Det. for Tatenen (tꜣ-ṯnn),,,,
𓁯,C18,squatting god,Id. & Det. for Tatenen (tꜣ-ṯnn),,,,
𓁰,C19,mummy-shaped god,Id. & Det. for Ptah (ptḥ),,,,
𓁰,C19,mummy-shaped god,Divine (nṯry),,,,
𓁱,C20,mummy-shaped god in shrine,Id. & Det. for Ptah (ptḥ),,,,
𓁱,C20,mummy-shaped god in shrine,Divine (nṯry),,,,
𓁲,C21,Bes,Bes (bs),,,,
𓁲,C21,Bes,Bes (bs),,,,
𓁳,C22,god with falcon head and moon,Id. & Det. for Khonsu (ḫnsw),,,,
𓁳,C22,god with falcon head and moon,Id. & Det. for Khonsu (ḫnsw),,,,
𓁴,C23,goddess with feline head and sun with uraeus,"Id. & Det. for Sekhmet (sḫmt), Menhit (mnḥyt), Mehit (mḥyt), Bastet (bꜣstt)",,,,
𓁴,C23,goddess with feline head and sun with uraeus,"Id. & Det. for Sekhmet (sḫmt), Menhit (mnḥyt), Mehit (mḥyt), Bastet (bꜣstt)",,,,
𓁵,C24,god wearing red crown with scepter,Id. & Det. for Atum (jtmw),,,,
𓁵,C24,god wearing red crown with scepter,Id. & Det. for Atum (jtmw),,,,
𓁶,D1,head,head (dp) (ḏꜣḏꜣ),,,,
𓁶,D1,head,back of head (ḥꜣ),,,,
𓁶,D1,head,behind (ḥꜣ),,,,
𓁶,D1,head,"neglect, to leave behind (mkḥꜣ)",,,,
𓁶,D1,head,"neglect, to leave behind (mkḥꜣ)",,,,
𓁷,D2,face,face (ḥr),,,,
𓁷,U+13077,face,"on, around, over, for (ḥr)",,,,
𓁷,U+13077,face,"on, around, over, for (ḥr)",,,,
𓁸,D3,hair,hair (šnj),,,,
𓁸,U+13078,hair,skin (jnm),,,,
𓁸,U+13078,hair,color (jwn),,,,
𓁸,U+13078,hair,"empty, barely, loss of hair (wš)",,,,
𓁹,D4,eye,eye (jrt),,,,
𓁹,U+13079,eye,"make, create, do (jrj)",,,,
𓁹,U+13079,eye,see (mꜣꜣ),,,,
𓁹,U+13079,eye,"watch, to be watchful, to be awake (rs)",,,,
𓁹,U+13079,eye,to be blind (šp),,,,
𓁺,D5,eye touched up with paint,eye (jrt),,,,
𓁺,U+1307A,eye touched up with paint,view (dgi),,,,
𓁺,U+1307A,eye touched up with paint,to be blind (šp),,,,
𓁻,D6,eye with painted upper lid,eye (jrt),,,,
𓁻,U+1307B,eye with painted upper lid,view (dgi),,,,
𓁻,U+1307B,eye with painted upper lid,to be blind (šp),,,,
𓁼,D7,eye with painted lower lid,eye make-up / eye paint (msdmt),,,,
𓁼,U+1307C,eye with painted lower lid,"decorate, adorn, to be beautiful (ꜥn)",,,,
𓁼,U+1307C,eye with painted lower lid,view (ptr),,,,
𓁼,U+1307C,eye with painted lower lid,"see (mꜣꜣ) (seldom, rarely used)",,,,
𓁽,D8,eye enclosed in sandy tract,"decorate, adorn, to be beautiful (ꜥn)",,,,
𓁽,U+1307D,eye enclosed in sandy tract,"decorate, adorn, to be beautiful (ꜥn)",,,,
𓁾,D8A,eye with painted lower lid enclosed in sandy tract,"decorate, adorn, to be beautiful (ꜥn)",,,,
𓁾,U+1307E,eye with painted lower lid enclosed in sandy tract,"decorate, adorn, to be beautiful (ꜥn)",,,,
𓁿,D9,eye with flowing tears,weep (rmj),,,,
𓁿,U+1307F,eye with flowing tears,person (rmṯ) (Ptolemaic rebus),,,,
𓂀,D10,Eye of Horus,Wedjat-eye (wḏꜣt),,,,
𓂀,U+13080,Eye of Horus,Eye (jrt),,,,
𓂀,U+13080,Eye of Horus,"Bright (bꜣq, in bꜣqt Egypt)",,,,
𓂁,D11,left part of the eye of Horus,abbreviation for Heqat-measure grain: 1/2,,,,
𓂁,U+13081,left part of the eye of Horus,abbreviation for Heqat-measure grain: 1/2,,,,
𓂂,D12,pupil,Eye (jr) (Pars-pro-toto substitution),,,,
𓂂,U+13082,pupil,abbreviation for Heqat-measure grain: 1/4,,,,
𓂃,D13,eyebrow,abbreviation for Heqat-measure grain: 1/8,,,,
𓂃,U+13083,eyebrow,abbreviation for Heqat-measure grain: 1/8,,,,
𓂄,D14,right part of eye of Horus,abbreviation for Heqat-measure grain: 1/16,,,,
𓂄,U+13084,right part of eye of Horus,abbreviation for Heqat-measure grain: 1/16,,,,
𓂅,D15,diagonal marking of eye of Horus,abbreviation for Heqat-measure grain: 1/32,,,,
𓂅,U+13085,diagonal marking of eye of Horus,abbreviation for Heqat-measure grain: 1/32,,,,
𓂆,D16,vertical marking of eye of Horus,abbreviation for Heqat-measure grain: 1/64,,,,
𓂆,U+13086,vertical marking of eye of Horus,abbreviation for Heqat-measure grain: 1/64,,,,
𓂇,D17,diagonal and vertical markings of eye of Horus,Image (twt),,,,
𓂇,U+13087,diagonal and vertical markings of eye of Horus,Image (twt),,,,
𓂈,D18,ear,to listen (sḏm),,,,
𓂈,U+13088,ear,Ear (msḏr),,,,
𓂉,D19,"nose, eye and cheek","nose (fnḏ),",,,,
𓂉,U+13089,"nose, eye and cheek","smell (sn),",,,,
𓂉,U+13089,"nose, eye and cheek","be happy (ršw),",,,,
𓂉,U+13089,"nose, eye and cheek","face, front (ḫnt),",,,,
𓂊,D20,"nose, eye and cheek (cursive)","nose (fnḏ),",,,,
𓂊,U+1308A,"nose, eye and cheek (cursive)","smell (sn),",,,,
𓂊,U+1308A,"nose, eye and cheek (cursive)","be happy (ršw),",,,,
𓂊,U+1308A,"nose, eye and cheek (cursive)","face, front (ḫnt),",,,,
𓂋,D21,mouth,"mouth, utterance (r[ꜣ])",,,,
𓂋,U+1308B,mouth,Turn about (pẖr),,,,
𓂌,D22,mouth with two strokes,2/3 (rꜣwj),,,,
𓂌,U+1308C,mouth with two strokes,2/3 (rꜣwj),,,,
𓂍,D23,mouth with three strokes,3/4 (ḫmt-rꜣw),,,,
𓂍,U+1308D,mouth with three strokes,3/4 (ḫmt-rꜣw),,,,
𓂎,D24,upper lip with teeth,Lip (spt),,,,
𓂎,U+1308E,upper lip with teeth,Lip (spt),,,,
𓂏,D25,lips,(both) lips (sptj),,,,
𓂏,U+1308F,lips,(both) lips (sptj),,,,
𓂐,D26,liquid issuing from lips,spit (psg),,,,
𓂐,U+13090,liquid issuing from lips,"to spit, to vomit (bšj)",,,,
𓂐,U+13090,liquid issuing from lips,blood (snf),,,,
𓂑,D27,small breast,to suckle (snq),,,,
𓂑,U+13091,small breast,breast (mnḏ),,,,
𓂑,U+13091,small breast,wet nurse (mnꜥt),,,,
𓂒,D27A,large breast,to suckle (snq),,,,
𓂒,U+13092,large breast,breast (mnḏ),,,,
𓂒,U+13092,large breast,wet nurse (mnꜥt),,,,
𓂓,D28,two arms upraised,the Ka (life spirit) (kꜣ),,,,
𓂓,U+13093,two arms upraised,the Ka (life spirit) (kꜣ),,,,
𓂔,D29,combination of hieroglyphs D28 and R12,the Ka (life spirit) (kꜣ),,,,
𓂔,U+13094,combination of hieroglyphs D28 and R12,the Ka (life spirit) (kꜣ),,,,
𓂕,D30,two arms upraised with tail,The god Nehebkau (nḥb-kꜣw),,,,
𓂕,U+13095,two arms upraised with tail,The god Nehebkau (nḥb-kꜣw),,,,
𓂖,D31,arms embracing club,mortuary priest (ḥm-kꜣ),,,,
𓂖,U+13096,arms embracing club,mortuary priest (ḥm-kꜣ),,,,
𓂗,D31A,two arms uppraised and club,mortuary priest (ḥm-kꜣ),,,,
𓂗,U+13097,two arms uppraised and club,mortuary priest (ḥm-kꜣ),,,,
𓂘,D32,arms embracing,enclose (jnq),,,,
𓂘,U+13098,arms embracing,"embrace (ḥpt, sḫn)",,,,
𓂘,U+13098,arms embracing,open the arms (pgꜣ),,,,
𓂙,D33,arms rowing,to row (ẖnj),,,,
𓂙,U+13099,arms rowing,to row (ẖnj),,,,
𓂚,D34,arms,"Fight, combat (ꜥḥꜣ)",,,,
𓂚,U+1309A,with shield,"Fight, combat (ꜥḥꜣ)",,,,
𓂚,U+1309A,and battle axe,"Fight, combat (ꜥḥꜣ)",,,,
𓂛,D34A,arms with shield and mace,"Fight, combat (ꜥḥꜣ)",,,,
𓂛,U+1309B,arms with shield and mace,"Fight, combat (ꜥḥꜣ)",,,,
𓂜,D35,arms in gesture of negation,"not (n, nn)",,,,
𓂜,U+1309C,arms in gesture of negation,that which is not (jwtj),,,,
𓂜,U+1309C,arms in gesture of negation,to not know (ḫm),,,,
𓂜,U+1309C,arms in gesture of negation,shrine (ḫm),,,,
𓂜,U+1309C,arms in gesture of negation,forget (smḫ),,,,
𓂝,D36,forearm (palm upwards),arm (ꜥ),,,,
𓂝,U+1309D,forearm (palm upwards),cubit (mḥ),,,,
𓂝,U+1309D,forearm (palm upwards),cubit (mḥ),,,,
𓂞,D37,forearm with bread cone,give (jmj),,,,
𓂞,U+1309E,forearm with bread cone,"give (rḏj, ḏj)",,,,
𓂟,D38,forearm with rounded loaf,to give (jmj),,,,
𓂟,U+1309F,forearm with rounded loaf,"to give (rḏj, ḏj)",,,,
𓂟,U+1309F,forearm with rounded loaf,to present (ḥnk),,,,
𓂠,D39,forearm with bowl,to present (ḥnk),,,,
𓂠,U+130A0,forearm with bowl,to present (ḥnk),,,,
𓂡,D40,forearm with stick,strength (nḫt),,,,
𓂡,U+130A1,forearm with stick,to strike (ḥwj),,,,
𓂡,U+130A1,forearm with stick,to examine (ḫꜣj),,,,
𓂢,D41,forearm with palm down and bent upper arm,arm (gbꜣ),,,,
𓂢,U+130A2,forearm with palm down and bent upper arm,shoulder (rmn),,,,
𓂢,U+130A2,forearm with palm down and bent upper arm,left (jꜣbj),,,,
𓂢,U+130A2,forearm with palm down and bent upper arm,sing (ḥsj),,,,
𓂢,U+130A2,forearm with palm down and bent upper arm,bend (ḥms),,,,
𓂢,U+130A2,forearm with palm down and bent upper arm,end (grḥ),,,,
